id,name,vendorType,vendorTypes,type,serviceType,description,directPayMarketplace,additionalLocations,subjectsTaught,pricingModel,price,pricingNotes,isProductionReady,curricularClassification,bonusTagsRaw,minGrade,maxGrade,isPreK,isElementary,isMiddle,isHigh,displayGradeRange,costOptions,address_street,address_city,address_state,address_zipcode,address_county,address_region,location_lat,location_lng,contact_website,contact_phone,contact_email,financial_minAnnualTuition,financial_maxAnnualTuition,academics_studentGrowth,academics_attendanceRate,academics_graduationRate,academics_studentTeacherRatio,academics_retentionRate
rec0zNBSPa55fGXr1,Little Farmers Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1391 Business 78,Farmersville,TX,75442,Collin County,Dallas-Fort Worth,33.183196128315,-96.372850682078,https://littlefarmers.com,(972) 782-8118,info@littlefarmers.com,,,,,,,
rec0zmu32f2ykhcDY,Kreative 4 Kidz,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,8806 Homestead Rd,Houston,TX,77016,Harris County,Houston Area,29.841210615271,-95.301910346505,,(832) 925-7986,kreative4kidz@yahoo.com,,,,,,,
rec1AonKqMLanSbDk,Kiddie Academy Lakes Of Savannah,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,5158 Savannah Pkwy,Rosharon,TX,77583,Brazoria County,Houston Area,,,https://kiddieacademy.com/Lakesofsavannah,(832) 350-5527,james.ihedigbo@kiddieacademy.net,,,,,,,
rec1NeREO0KjGb8LY,D.A.V. Montessori,Schools,Schools,Private School,local,,,,,,,,True,,,-1,5,,True,,,Grades PreK–5,EFA-Eligible,14375 Schiller Rd,Houston,TX,77082,Harris County,Houston Area,29.718465736481,-95.641176476167,https://davhouston.org,(281) 759-3286,davmontessori@gmail.com,,,,,,,
rec1SzAwSbhUXtC5A,IVy Kids At Long Meadow Farms,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,20901 Long Meadow Farms Pkwy,Richmond,TX,77406,Fort Bend County,Houston Area,29.66160163445,-95.743050616553,https://www.ivykidslongmeadowfarms.com,(281) 202-8548,info@ivykidslongmeadowfarms.com,,,,,,,
rec1WNQ2GGBwUHgU8,St. Joseph Catholic School Edinburg,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,119 W Fay St,Edinburg,TX,78539,Hidalgo County,Rio Grande Valley,26.297505913907,-98.163385583021,https://sjcsedinburg.org,(956) 383-3957,hdelarosa@cdobcs.org,,,,,,,
rec1aZywCZw9sqnHt,As We Grow Learning Center #2,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,9802 N Houston Rosslyn Rd,Houston,TX,77088,Harris County,Houston Area,29.884774760311,-95.494382429269,,(346) 219-0835,info@awglearning.com,,,,,,,
rec1efrOXutNX7tcy,The Clubhouse,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,7911 N Twin City Hwy,Port Arthur,TX,77642,Jefferson County,East Texas,29.959282709129,-93.967096376722,,(409) 727-5555,the-clubhouse@hotmail.com,,,,,,,
rec1iPvJyzwgDlUqT,John Paul II High School,Schools,Schools,Private School,local,,,,,,,,True,,,9,12,False,False,False,True,Grades 9–12,EFA-Eligible,900 Coit Rd,Plano,TX,75075,Collin County,Dallas-Fort Worth,33.010233637379,-96.766605791916,https://www.johnpauliihs.org,(972) 867-0005,danielledbetter@johnpauliihs.org,,,,,,,
rec1jYWTDTGDUpW5K,Sa Liberty Field Prep School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,10606 Liberty Fld,San Antonio,TX,78254,Bexar County,San Antonio Area,29.507787773422,-98.69892406151,https://www.krklibertyfield.com,(210) 681-5437,sharon@krklibertyfield.com,,,,,,,
rec1zQu6tRRiJQPeq,The Tribe Home Daycare,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,3164 Hanna Ranch Blvd,Fort Worth,TX,76140,Tarrant County,Dallas-Fort Worth,32.637510014461,-97.274288783351,https://www.thetribehomedaycare.net,(469) 473-8006,thetribehomedaycare@gmail.com,,,,,,,
rec23iOt8uZjwqige,Summerlin Child Care & Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,6387 De Zavala Rd,San Antonio,TX,78249,Bexar County,San Antonio Area,29.563054240626,-98.613210605397,https://www.summerlindaycare.com,(210) 641-7337,info@summerlindaycare.com,,,,,,,
rec27J80NJd4GmWBO,Holy Family Catholic School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,2601 Ursuline Ave,Galveston,TX,77550,Galveston County,Houston Area,29.294589,-94.794103,https://hfcsgalv.org,(409) 765-6607,principal@hfcsgalv.org,,,,,,,
rec2IqWRkonWk3nMU,Beth's Green Frog Daycare,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1024 Boston Ave,Nederland,TX,77627,Jefferson County,East Texas,29.978135574693,-93.989074306969,,(409) 722-4454,grnfrgabc123@sbcglobal.net,,,,,,,
rec2iCn5MFHbFp2yU,The Goddard School Of Mckinney Honey Creek,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,7300 Steiger Trl,Mckinney,TX,75071,Collin County,Dallas-Fort Worth,,,https://www.goddardschool.com/schools/tx/mckinney/mckinney-honey-creek,(469) 215-2121,honeycreektx@goddardschools.com,,,,,,,
rec2jOPUr93U8N0xf,Happy Panda Bilingual Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,7916 Glenview Dr,Richland Hills,TX,76180,Tarrant County,Dallas-Fort Worth,32.823700426844,-97.210024501492,https://happypandalearning.com,(682) 521-4264,happypandachildcare@outlook.com,,,,,,,
rec2n7lyLfyfRoLZ7,St. Elizabeth Of Hungary Catholic School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,4019 S Hampton Rd,Dallas,TX,75224,Dallas County,Dallas-Fort Worth,32.693057357952,-96.857179297013,https://www.saintspride.com,(214) 331-5139,jborth@saintspride.com,,,,,,,
rec2uNiGuKcmCKCeO,Los Amiguitos,Schools,Schools,Private School,local,,,,,,,,True,,,-1,2,,True,,,Grades PreK–2,EFA-Eligible,"3701 E Martin Luther King Jr Blvd, # 3",Austin,TX,78721,Travis County,Austin Area,30.283852410531,-97.695111869435,https://escuelaamiguitos.com,(480) 845-2771,admin@escuelaamiguitos.com,,,,,,,
rec2yGjMEVHjpFDSF,The Saint Constantine School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,7177 Regency Square Blvd,Houston,TX,77036,Harris County,Houston Area,29.715481737508,-95.50862648444,https://www.saintconstantine.org,(832) 975-7075,punger@saintconstantine.org,,,,,,,
rec2zivIrLDvMJRrO,World Of Color Development Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,780 Pinchback Rd,Beaumont,TX,77707,Jefferson County,East Texas,30.068828413377,-94.175570224441,https://wocchildcare.com,(409) 866-7164,kourtney@wocchildcare.com,,,,,,,
rec3979FLMuIZgeOT,Bright Kids Montessori,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,"2825 Valley View Ln, Ste 221",Farmers Branch,TX,75234,Dallas County,Dallas-Fort Worth,32.924601678197,-96.884122179109,https://brightkidsmontessori.com,(972) 484-6400,brightkidsmontessori@gmail.com,,,,,,,
rec39ZvKfzpamRMsn,Blessed Sacrament Catholic School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,600 Oblate Dr,San Antonio,TX,78216,Bexar County,San Antonio Area,29.504269167979,-98.497986816863,https://blessedschool.com,(210) 824-3381,michael.fierro@blessedschool.com,,,,,,,
rec39bZ99GWUa9GCl,Little Scholars Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1200 W Spring Valley Rd,Richardson,TX,75080,Dallas County,Dallas-Fort Worth,32.93910951653,-96.764054837992,https://www.littlescholarsdfw.com,(214) 802-7622,mikesun01@yahoo.com,,,,,,,
rec3CidfjgONQpk1a,Grace Academy Of Georgetown,Schools,Schools,Private School,local,,,,,,,,True,,,0,12,False,True,True,True,Grades K–12,EFA-Eligible,225 Grace Blvd,Georgetown,TX,78633,Williamson County,Austin Area,,,https://gracetx.org,(512) 864-9500,headofschool@gracetx.org,,,,,,,
rec3GQtaUnoPVf1f5,IVy Kids Early Learning Center - Cinco Ranch,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,27270 Cinco Ranch Blvd,"Katy, Tx",TX,77494,Fort Bend County,Houston Area,29.714713571376,-95.815548541267,https://ivykids.com/katy-tx/ivy-kids-of-cinco-ranch,(281) 748-8365,sarjana@ivykids.com,,,,,,,
rec3QO5qTcHm0JRKp,Kosmic Kids,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1101 E Pleasant Run Rd,Desoto,TX,75115,Dallas County,Dallas-Fort Worth,32.604395828298,-96.831112567491,,(469) 567-4543,admin@kosmickidstx.com,,,,,,,
rec3b2wSpaXUi2uxM,Lamb Of God Preschool,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1401 Cross Timbres Rd,Flower Mound,TX,75028,Denton County,Dallas-Fort Worth,33.040029271,-97.04766704485,https://www.log.org/preschool,(972) 539-0055,bsimmons@log.org,,,,,,,
rec3kgDfGHKqthhb5,St. Joseph School El Paso,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,1300 Lamar,El Paso,TX,79903,El Paso County,El Paso Area,31.786764940411,-106.446482098313,https://www.stjoseph-school.org,(915) 566-1661,jtrejo@stjoseph-school.org,,,,,,,
rec3mJyBb7EgLXep0,Busy Bee Playhouse,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,11278 Stirton Dr,Tomball,TX,77375,Harris County,Houston Area,30.077073016171,-95.589497212634,https://www.busybeeplayhouse.com,(832) 334-2622,busybeeplayhouse@yahoo.com,,,,,,,
rec3qrmY6jii23yIO,Guadalupe Regional Middle School,Schools,Schools,Private School,local,,,,,,,,True,,,6,8,False,False,True,False,Grades 6–8,EFA-Eligible,1214 Lincoln St,Brownsville,TX,78521,Cameron County,Rio Grande Valley,25.910362739673,-97.487064159538,https://www.guadalupeprep.org,(956) 504-5568,vmiller@guadalupeprep.org,,,,,,,
rec3rHUBjsCVhxZco,Temple Christian Academy,Schools,Schools,Private School,local,,,,,,,,True,,,0,12,False,True,True,True,Grades K–12,EFA-Eligible,2501 Northshore Blvd,Flower Mound,TX,75028,Denton County,Dallas-Fort Worth,33.011270935193,-97.066433219344,https://templechristian.com,(972) 874-8700,cgibbs@templechristian.com,,,,,,,
rec3tCZbGMULgHlNe,Desoto Private School & Day Care Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,6,True,True,True,False,Grades PreK–6,EFA-Eligible,301 E Belt Line Rd,Desoto,TX,75115,Dallas County,Dallas-Fort Worth,32.589797031091,-96.852608161089,https://www.desotoprivate.org,(972) 223-6450,kellelarson@aol.com,,,,,,,
rec3x1xpZpDzb0uSR,Abc Children's Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,7380 Senate Ave,Jersey Village,TX,77040,Harris County,Houston Area,29.88033860643,-95.561588960348,,(713) 896-7700,abcacademy_1@yahoo.com,,,,,,,
rec461ggSwNbyWbcE,Acton Academy Lakewood,Schools,Schools,Private School,local,,,,,,,,True,,,-1,12,True,True,True,True,Grades PreK–12,EFA-Eligible,2443 Abrams Rd,Dallas,TX,75214,Dallas County,Dallas-Fort Worth,32.819157645797,-96.752940261814,https://www.actonlakewood.org,(214) 868-6686,molly@actonlakewood.org,,,,,,,
rec4MJj2XbHmFk3Zv,The Ubuntu Learning Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1422 W Danieldale Rd,Duncanville,TX,75137,Dallas County,Dallas-Fort Worth,32.6328197,-96.9413285,https://www.ubuntulearningacademy.com,(469) 394-6744,theubuntuacademy@gmail.com,,,,,,,
rec4TMJD4I1MqkECp,St. Joseph Catholic School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,600 S Jupiter Rd,Richardson,TX,75081,Dallas County,Dallas-Fort Worth,32.956611767424,-96.682870005414,https://sjcstx.net,(972) 234-4679,fthompson@stjosephccschool.net,,,,,,,
rec4Zf0wsThwTvKwd,St. Anthony's School Hereford,Schools,Schools,Private School,local,,,,,,,,True,,,-1,5,,True,,,Grades PreK–5,EFA-Eligible,120 W Park Ave,Hereford,TX,79045,Deaf Smith County,Panhandle,34.82219912743,-102.4061316036,https://www.stanthonysaints.com,(806) 364-1952,mrslindagonzalez@stanthonysaints.com,,,,,,,
rec4wc2tZONCcKEIF,Kids 'R' Kids #46 Tx,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,4515 FM 1463,Katy,TX,77494,Fort Bend County,Houston Area,29.727664706725,-95.846176378454,https://kidsrkids.com/cardiff-ranch,(281) 347-5437,bhavana@kidsrkidscardiffranch.com,,,,,,,
rec4xIj9yD0IRdRXr,Ashford Montessori,Schools,Schools,Private School,local,,,,,,,,True,,,-1,0,True,True,False,False,Grades PreK–K,EFA-Eligible,20301 Jackies Ranch Rd,Pflugerville,TX,78660,Travis County,Austin Area,30.474978649564,-97.562191442008,https://www.ashfordmontessori.com,(512) 670-3400,knguyen@ashfordmontessori.com,,,,,,,
rec532sChfEbCc8ML,Saint Paul Catholic Classical School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,720 S Floyd,Richardson,TX,75080,Dallas County,Dallas-Fort Worth,32.945129455633,-96.74400136886,https://www.spsdfw.org,(972) 235-3263,c.demakas@spsdfw.org,,,,,,,
rec5BykijJsnCuaz5,Open Hearts Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,15619 Scolty Reach Ln,Atascocita,TX,77346,Harris County,Houston Area,29.949854883211,-95.196100151589,https://openheartslc.com,(832) 610-9692,srussell@openheartslc.com,,,,,,,
rec5KJkUHK7MDKJ7X,The Goddard School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,4076 Gattis School Rd,Round Rock,TX,78664,Travis County,Austin Area,30.497247862454,-97.602396728749,https://www.goddardschool.com/schools/tx/round-rock/round-rock-gattis-school-road,(484) 410-9922,roundrock1tx@goddardschools.com,,,,,,,
rec5M3epEJShUf9v1,Northside Baptist Academy,Schools,Schools,Private School,local,,,,,,,,True,,,0,12,False,True,True,True,Grades K–12,EFA-Eligible,1800 Us-190 Bus,Nolanville,TX,76559,Bell County,Central Texas,31.0844782,-97.6395662,https://www.northsidebaptistacademy.org,(254) 290-9160,info@northsidebaptistacademy.org,,,,,,,
rec5aMtR0ouhT3oS5,Walnut Creek Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1751 N Walnut Creek Dr,Mansfield,TX,76063,Tarrant County,Dallas-Fort Worth,32.59809282731,-97.13117415308,https://www.walnutcreekacademy.com,(817) 908-3534,tstidham@imaginenationcenter.com,,,,,,,
rec5bBezcYyk0hu3C,Lake Creek Montessori International School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,10127 Lake Creek Pkwy,Austin,TX,78729,Williamson County,Austin Area,30.463626514384,-97.789412626581,https://www.lakecreekmontessori.org,(512) 770-6270,jordanmontessori@gmail.com,,,,,,,
rec5bgvvIG8ulfdAC,Childs Day,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,"2525 Wallingwood Dr, Bldg 1 Ste 100",Austin,TX,78746,Travis County,Austin Area,30.264915535155,-97.782728249099,https://www.childsday.com,(512) 327-3274,office@childsday.com,,,,,,,
rec5fjrs3eO2oSqnu,White Rock Montessori,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,1601 Oates Dr,Dallas,TX,75228,Dallas County,Dallas-Fort Worth,32.821871549342,-96.687512655373,https://whiterockmontessori.org,(214) 324-5580,brenda@whiterockmontessori.org,,,,,,,
rec5h4Y14b7nterFl,El Paso Special Needs Education Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,"7930 N Mesa St, Ste 6-7B",El Paso,TX,79932,El Paso County,El Paso Area,31.840312194993,-106.574198712068,https://www.everylittleblessing.org,(915) 875-0510,msjessica@everylittleblessing.org,,,,,,,
rec5hofSWJUlxaQo1,Bishop Dunne Catholic High School,Schools,Schools,Private School,local,,,,,,,,True,,,6,12,False,False,True,True,Grades 6–12,EFA-Eligible,3900 Rugged Dr,Dallas,TX,75224,Dallas County,Dallas-Fort Worth,32.697003575897,-96.850815373631,https://www.bdcs.org,(214) 339-6561,sguerrero@bdcs.org,,,,,,,
rec5xL18F6A5hqmSw,St. Mary Of The Purification Montessori,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,3006 Rosedale Ave,Houston,TX,77004,Harris County,Houston Area,29.719975038303,-95.368731679214,https://www.smcshouston.org,(713) 522-9276,dwolf@smcshouston.org,,,,,,,
rec5zXYHRA9LWbF4v,St. Anthony School Robstown,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,203 Dunne St,Robstown,TX,78380,Nueces County,South Texas,,,https://www.stanthonysaints.org,(361) 387-3814,agonzalez@stanthonysaints.org,,,,,,,
rec61lV1MeyYvxN5f,Salem Lutheran School Tomball,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,22601 Lutheran Church Rd,Tomball,TX,77375,Harris County,Houston Area,30.089071057449,-95.67011448308,https://salemlutheran.com,(281) 351-8223,aboatman@salem4u.com,,,,,,,
rec67w4UrKMgaZ33T,Oak Crest Private School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,"1200 E Jackson Rd, Building 2",Carrollton,TX,75006,Dallas County,Dallas-Fort Worth,32.975611611614,-96.903830252713,https://www.oakcrestschool.org,(214) 483-5400,hildegardj@oakcrestschool.org,,,,,,,
rec6CTJl60ZXOvdo9,St. Mary's Catholic School - Brownsville,Schools,Schools,Private School,local,,,,,,,,True,,,-1,6,True,True,True,False,Grades PreK–6,EFA-Eligible,1300 Los Ebanos Blvd,Brownsville,TX,78520,Cameron County,Rio Grande Valley,25.931713432523,-97.501899755259,https://www.stmarys-cs.org,(956) 546-1805,agomez@cdobcs.org,,,,,,,
rec6R24fPnxdmi4hy,Dee Dee's Child Care,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,8125 Twin Oaks Trl,Fort Worth,TX,76134,Tarrant County,Dallas-Fort Worth,32.631650955882,-97.339798147441,,(682) 348-8433,wrightdeedee12@yahoo.com,,,,,,,
rec6UTNItbIz4w8sI,Our Lady Of The Hills Regional Catholic High School,Schools,Schools,Private School,local,,,,,,,,True,,,6,12,False,False,True,True,Grades 6–12,EFA-Eligible,235 Peterson Farm Rd,Kerrville,TX,78028,Kerr County,San Antonio Area,29.991494904773,-99.096116319552,https://ourladyofthehills.org,(830) 895-0501,bridget.collins@ourladyofthehills.org,,,,,,,
rec6UkR9EX4nEhylI,Exceptional Foundation Academy And Childcare,Schools,Schools,Private School,local,,,,,,,,True,,,-1,2,,True,,,Grades PreK–2,EFA-Eligible,17190 Beaver Springs Dr,Houston,TX,77090,Harris County,Houston Area,30.01496646251,-95.456491997194,,(832) 243-8975,info@rightsteps.us,,,,,,,
rec6VrmulnQSrU18l,Longview Christian School,Schools,Schools,Private School,local,,,,,,,,True,,,0,12,False,True,True,True,Grades K–12,EFA-Eligible,1236 Pegues Pl,Longview,TX,75601,Gregg County,East Texas,32.514002948383,-94.72434780688,https://www.lcseagles.com,(903) 297-3501,administrator@lcseagles.com,,,,,,,
rec6adVYeURfuaWmp,Epiphany Lutheran School,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,14423 West Rd,Houston,TX,77041,Harris County,Houston Area,29.899381511599,-95.619388522497,https://www.elcsh.org,(713) 896-1843,mschleicher@elcsh.org,,,,,,,
rec6azPtpoLhNlQ0t,Kids University Preparatory Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,2020 W Wheatland Rd,Dallas,TX,75232,Dallas County,Dallas-Fort Worth,32.65178804773,-96.790519672026,https://www.kidsuprep.com,(972) 228-7256,cljohnson.prep@gmail.com,,,,,,,
rec6jTGTAshpTOXB9,Imagine Nation Learning Center,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,1151 N Walnut Creek Dr,Mansfield,TX,76063,Tarrant County,Dallas-Fort Worth,32.584536184572,-97.131826681456,https://www.imaginenationcenter.com,(817) 908-3534,tstidham@imaginenationcenter.com,,,,,,,
rec6n8M3c0VlgKQU7,Fort Worth Adventist Junior Academy,Schools,Schools,Private School,local,,,,,,,,True,,,-1,8,True,True,True,False,Grades PreK–8,EFA-Eligible,3040 Sycamore School Rd,Fort Worth,TX,76133,Tarrant County,Dallas-Fort Worth,32.635033097594,-97.365236794314,https://www.gofwaja.org,(817) 370-7177,jesquivel@txsda.org,,,,,,,
rec6nfYFHBMEWj7mI,Notre Dame Of Dallas Sp School And Vocational Center,Schools,Schools,Private School,local,,,,,,,,True,,,1,12,,True,True,True,Grades 1–12,EFA-Eligible,2018 Allen St,Dallas,TX,75204,Dallas County,Dallas-Fort Worth,32.795046461422,-96.795185755055,https://www.notredameschool.org,(214) 720-3911,cfernandez@notredameschool.org,,,,,,,
rec6onHBk2gk2N25I,Dennika Roberts,Schools,Schools,Private School,local,,,,,,,,True,,,-1,-1,True,False,False,False,Grades PreK–PreK,EFA-Eligible,821 Margay Loop,Seguin,TX,78155,Guadalupe County,San Antonio Area,29.534276496443,-97.99495987374,https://smallmiracleschildcare.org,(904) 258-8152,mamanika1986@yahoo.com,,,,,,,
